Experiment subset: sand-gravel-mud (SGM) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.

						
Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. "SD" denotes the						
standard deviation from the mean.						

t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
0	4.91E-05	0.000232345	-0.002503826	0.004061767	0.006513147	0.021645595
0.01	0.000122213	0.000131845	0.001237279	0.005229153	0.007300114	0.028385886
0.02	0.000236708	0.000380476	0.000259918	0.007218118	0.003151128	0.022048718
0.03	0.000207296	0.000379721	-0.001535828	0.00451918	0.00857352	0.014553344
0.04	-1.63E-05	0.000157325	9.98E-05	0.005243706	0.021838549	0.030690958
0.05	-2.10E-05	0.000307402	0.003010187	0.006902027	0.014423061	0.030816601
0.06	5.29E-06	0.000256712	0.005710691	0.005779465	0.005962297	0.027826138
0.07	-2.74E-05	0.000262312	0.004966915	0.006347027	0.008454952	0.02586599
0.08	1.54E-05	0.00034459	0.004016412	0.004277746	0.015785483	0.025825147
0.09	7.75E-05	0.000361699	0.003917319	0.00775078	0.006406795	0.011011819
0.1	8.11E-05	0.000229117	0.002878146	0.005495504	-0.004897967	0.011999075
0.11	8.00E-05	0.000205046	0.006523871	0.005458116	0.000652112	0.013458307
0.12	9.67E-06	0.000144461	0.000794452	0.005613398	-0.003032377	0.013612825
0.13	-6.83E-05	0.000206327	0.002281776	0.00909386	0.006807578	0.014350673
0.14	4.18E-05	0.000242734	0.000674923	0.007379212	0.017520799	0.049871176
0.15	0.000256751	0.000441299	-0.001593736	0.00523479	0.003928329	0.020499406
0.16	0.000100072	0.000222644	-0.003245692	0.00495006	0.005733213	0.015765737
0.17	7.68E-05	0.000260563	-0.001064749	0.006371115	-4.93E-05	0.022431844
0.18	0.0001682	0.000309189	-0.003541416	0.007367715	0.009273507	0.019331308
0.19	0.000218144	0.000643077	0.001826125	0.012513271	0.005941403	0.029352131
0.2	-5.24E-05	0.000232346	-0.003244422	0.007480603	-0.007938459	0.015946254
0.21	-0.000109817	0.000222033	0.000189099	0.0104758	0.014314979	0.009569636
0.22	7.06E-05	0.000459501	-0.000875731	0.007674145	0.020202966	0.024525327
0.23	-0.000104106	0.00037347	-0.001249718	0.006310506	0.001500908	0.014884382
0.24	0.000140815	0.000714069	0.000866615	0.003867316	-0.00206318	0.010274585
0.25	0.000107937	0.000357098	0.001644728	0.003940781	-0.000599248	0.016485386
0.26	0.000137353	0.000496588	0.001459068	0.006011023	0.013771974	0.032724214
0.27	6.55E-05	0.000149742	-0.000443109	0.005114319	0.001373492	0.016722738
0.28	-1.35E-05	0.000204336	-0.000826054	0.00485217	0.000180927	0.007104712
0.29	-3.56E-05	0.00020224	0.000781032	0.005369111	0.000656563	0.015758823
0.3	-7.36E-05	0.000153181	0.003515161	0.005805371	0.011443094	0.040455782
0.31	8.24E-05	0.000381713	-0.000311713	0.005966752	0.015145645	0.020568599
0.32	6.34E-05	0.000239263	0.002288979	0.008443384	0.00306389	0.017496592
0.33	0.000151762	0.000270851	0.001193565	0.005092643	0.011997779	0.011981725
0.34	3.23E-05	0.000232258	0.004168445	0.009016157	0.011734384	0.018395465
0.35	-3.20E-05	0.000371359	0.00741119	0.009125423	0.005037537	0.0051864
0.36	1.16E-05	0.000385855	0.001336435	0.008467897	-0.004464068	0.013876389
0.37	-0.000240376	0.000511155	0.002679292	0.002430055	-0.002375036	0.015953331
0.38	-5.41E-05	0.000351805	0.001616653	0.002822316	-0.003697796	0.012757532
0.39	5.57E-05	0.000291374	-0.000206066	0.006324844	0.002951084	0.015084571
0.4	0.000131306	0.000200576	-0.002116385	0.003865338	-0.003911988	0.008522586
0.41	2.10E-05	0.000339954	-0.000331982	0.00379618	-0.0036049	0.010800954
