Experiment subset: sand-gravel (SG) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.				


Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. ""SD"" denotes the 						
standard deviation from the mean. 						
						
t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
0	0.000122125	0.000138736	-0.002125377	0.010012504	-0.017759131	0.049402013
0.01	0.000105773	0.000186511	-0.00263078	0.006439576	-0.016246209	0.027834685
0.02	7.10913E-05	0.000188928	0.001280911	0.004044138	-0.015853623	0.034946553
0.03	5.04096E-05	0.000268256	-0.000719041	0.005624677	-0.01349069	0.015994894
0.04	-0.000131451	0.000256201	-0.000976784	0.006441487	-0.01601281	0.023290957
0.05	-3.72273E-05	0.000281275	0.001669456	0.007081251	0.00619669	0.03725698
0.06	1.55766E-05	0.000279751	-0.008264927	0.023700922	-0.004485982	0.014547045
0.07	-0.000153673	0.000199352	-0.001142428	0.009575505	0.004960665	0.020235585
0.08	-7.33279E-05	0.000139191	0.004776349	0.008505344	0.000222551	0.015991524
0.09	-0.000160174	0.000324227	0.002918906	0.011044603	-0.003596209	0.016698806
0.1	-4.06101E-05	0.000221103	0.002878626	0.008074373	-0.004010348	0.021114446
0.11	0.000108407	0.000774511	0.001025755	0.009078228	-0.003862141	0.013125905
0.12	1.72765E-05	0.000317255	0.003660172	0.007625164	-0.012090894	0.029842707
0.13	-1.39542E-05	0.000369423	0.000740805	0.009390552	-0.005022369	0.012314959
0.14	-0.000149913	0.000374158	0.001269643	0.005101685	0.00274325	0.010527765
0.15	-0.000189179	0.000370758	0.002467133	0.009322219	-0.002394948	0.014911584
0.16	-0.000201565	0.000244629	-0.001528064	0.006397191	-0.008207813	0.016698587
0.17	-0.000139164	0.000334218	-0.000481717	0.006527213	0.003052594	0.020797851
0.18	-8.67554E-05	0.000165254	0.000522793	0.009692805	-0.013475187	0.02567885
0.19	-0.000116802	0.000202297	-0.003294614	0.008968998	-0.010247455	0.022113833
0.2	-0.00010165	0.000229874	-0.000582719	0.008289231	-0.002233587	0.022206943
0.21	-5.11856E-05	0.000289972	-0.00099312	0.005639413	-0.008939682	0.026255444
0.22	-5.81126E-05	0.000175381	0.001889402	0.006964813	-0.002243489	0.013185995
0.23	2.69407E-06	0.0002542	-0.002060871	0.005913723	-0.006068336	0.017768374
0.24	0.000155868	0.000305445	-0.000915573	0.005922514	6.33893E-05	0.017157029
0.25	-7.66361E-05	0.000205944	-0.001033024	0.004599099	-0.005405678	0.01604017
0.26	-0.000186958	0.00035514	-0.000285168	0.004369311	0.010063528	0.053490684
0.27	-0.000184083	0.000248927	-0.000960118	0.005948614	-0.008155264	0.021914492
0.28	-3.7157E-05	0.000241953	0.003222397	0.007313757	-0.003301938	0.010005688
0.29	-0.000209342	0.000195259	0.000479775	0.007984189	-0.007192938	0.026969658
0.3	-8.16672E-05	0.000341585	-2.806E-05	0.00802766	-0.001951328	0.013262707
0.31	-0.000165157	0.000300013	0.001788215	0.003916255	-0.017731132	0.034613656
0.32	-0.000154177	0.000206465	-0.00013321	0.003996186	-0.00909777	0.021304315
0.33	-1.36153E-05	0.000206622	0.002114487	0.004622184	-0.017745383	0.027364452
0.34	7.32524E-05	0.000291107	-0.002899174	0.0072167	-0.015292384	0.021238895
0.35	0.000115558	0.000508824	-0.00478212	0.00548853	-0.002949762	0.013803185
0.36	-9.7334E-05	0.00047149	-0.004180534	0.007970273	-0.009466942	0.014235392
0.37	-9.81173E-05	0.000237282	0.003510412	0.010245648	-0.00580878	0.015749815
0.38	-2.41674E-05	0.000233069	0.000521814	0.006424273	-0.009629747	0.020029184
0.39	-0.000125189	0.000268283	0.00179553	0.006375173	0.00956912	0.037665093
0.4	-0.000114436	0.000291215	0.000226644	0.006927305	-0.005348675	0.019729225
0.41	-3.74195E-05	0.000216964	-0.000816072	0.01000287	-0.008915181	0.018115819
0.42	8.48131E-06	0.000215607	-0.00059544	0.006474332	-0.015001897	0.031893122
0.43	-4.5586E-05	0.000215888	0.003025006	0.008841042	-0.012501172	0.027292351
0.44	4.50134E-05	0.000383721	0.004416277	0.009093934	-0.00591173	0.022147467
0.45	-5.09071E-05	0.000210125	0.006121584	0.01213688	-0.007736694	0.010014776
0.46	-1.79992E-05	0.000287337	0.00231242	0.008230151	-0.012945612	0.026538681
0.47	-6.16841E-05	0.000181242	0.003118868	0.008566626	-0.005421807	0.014349595
0.48	-8.26415E-06	0.000197101	0.002439714	0.011283045	2.52699E-05	0.024081837
0.49	0.000237077	0.000558952	-0.002601045	0.009592851	-0.008687908	0.014998811
0.5	-0.000112237	0.000383483	0.000624935	0.007942718	-0.015241892	0.018796441
0.51	-3.45134E-05	0.000223556	-0.000903361	0.005081726	-0.011643687	0.016314706
0.52	7.55178E-05	0.000135237	0.001325627	0.00660288	-0.018126876	0.036694562
0.53	0.00014885	0.000225976	0.000406702	0.005649564	-0.01854281	0.045353584
0.54	0.000070313	0.000357768	0.003058888	0.00597455	-0.010742612	0.025252943
0.55	-6.33663E-05	0.000323535	-0.001094753	0.004944575	-0.013491013	0.029778785
0.56	-0.00010116	0.000249148	-0.001138771	0.006152712	0.000419714	0.010612279
0.57	-3.37014E-05	0.000253721	-0.001661242	0.008489202	0.000368265	0.006402904
0.58	7.57663E-05	0.000549971	0.000700784	0.008560633	-6.43363E-05	0.01131763
