Experiment subset: sand-gravel (SG) on smooth bed
Data tables for cross sections at x= 2, 32, and 66 m are listed in succession below,
separated by blank lines and headers.

		
Cross section: x = 2 m		
Column Headings: t is the time since gate release. h is the mean flow thickness.		
SD denotes the standard deviation from the mean.		

t(s)	h(m)		SD h(m)
0.1085	-0.001750828	0.006777282
0.1185	-0.000964308	0.005492041
0.1285	0.001026297	0.005386914
0.1385	8.09E-05	0.004298036
0.1485	-0.000269813	0.004083901
0.1585	-0.000909729	0.004351916
0.1685	-0.00053212	0.003608392
0.1785	-0.001292479	0.005102248
0.1885	-0.000655417	0.004555758
0.1985	-0.000270147	0.003634756
0.2085	0.000409776	0.005906667
0.2185	-0.000639932	0.004866772
0.2285	-0.00050092	0.004404818
0.2385	0.000214633	0.005561454
0.2485	-4.82E-05	0.005170939
0.2585	-0.000235443	0.005111318
0.2685	0.000349318	0.004684641
0.2785	-0.001106749	0.006009772
0.2885	0.001100288	0.007366062
0.2985	0.000414918	0.00641318
0.3085	0.00092937	0.005235692
0.3185	0.000439168	0.004972864
0.3285	0.001997866	0.007439021
0.3385	0.001237473	0.0074068
0.3485	0.003556084	0.006241544
0.3585	0.003211308	0.006554596
0.3685	0.001746055	0.005501372
0.3785	0.000480386	0.006140921
0.3885	-0.000176293	0.006828797
0.3985	0.000233899	0.006225631
0.4085	0.001396899	0.007843713
0.4185	0.001473222	0.006370515
0.4285	0.000715844	0.006391834
0.4385	0.001448659	0.006089328
0.4485	0.00064877	0.006186902
0.4585	-0.000310661	0.006370945
0.4685	-0.000535389	0.005670454
0.4785	-0.000274394	0.004671303
0.4885	3.77E-06	0.005757561
0.4985	-0.00020933	0.004207564
0.5085	0.000192947	0.004094491
0.5185	0.000186682	0.00446251
0.5285	-0.000611498	0.005078772
0.5385	-0.000845844	0.004470134
0.5485	-0.002445038	0.006817132
0.5585	-0.001518309	0.005539123
0.5685	0.000382299	0.00440714
0.5785	0.000437872	0.006874424
0.5885	-2.47E-05	0.004362125
0.5985	-0.001012515	0.006252413
0.6085	-0.000250201	0.004535315
0.6185	-0.000527034	0.004593098
0.6285	-0.00049788	0.005124529
0.6385	0.000422811	0.004035126
0.6485	5.78E-05	0.004716997
0.6585	0.000522157	0.00423548
0.6685	0.000589422	0.004577326
0.6785	-0.000407498	0.003958286
0.6885	-0.000945923	0.003948444
0.6985	0.001390236	0.004369569
0.7085	0.001425119	0.004659137
0.7185	0.001363919	0.004884643
0.7285	1.56E-05	0.004276281
0.7385	8.86E-05	0.004735606
0.7485	-2.01E-05	0.004816804
0.7585	-8.79E-05	0.004229285
0.7685	0.0006018	0.005304963
0.7785	0.002548557	0.007134135
0.7885	0.001357509	0.005831832
0.7985	0.001640474	0.006534616
0.8085	0.000727838	0.007543493
0.8185	0.000983707	0.00691094
0.8285	0.001708664	0.008729071
0.8385	0.00259773	0.007406234
0.8485	0.003290367	0.007592866
0.8585	0.004789275	0.009582562
0.8685	0.003449866	0.007295079
0.8785	0.003845155	0.009643835
