'TIME'	'LOWER- 64cm'	'LOWER- 50cm'	'LOWER- 30cm'	'LOWER-10cm'	'MIDDLE- 64cm'	'MIDDLE- 50cm'	'MIDDLE- 30cm'	'MIDDLE-10cm'	'UPPER- 64cm'	'UPPER- 50cm'	'UPPER- 30cm'	'UPPER- 10cm'	'adjusted time'			
1	-1.6474	0.7342	-0.3549	-3.9932	20.6164	10.3001	0.9448	0.163	32.4823	17.2138	0.1927	-1.8288	2761.05		12/30/1899	1
2	-0.5324	0.7342	-0.3549	-3.9932	21.1794	10.3001	0.9448	-0.4028	32.4823	17.2138	-0.3695	-1.8288	2761.1		12/30/1899	2
3	-1.0899	0.7342	-0.3549	-3.9932	20.0534	9.7418	0.9448	0.163	32.4823	16.6462	0.1927	-1.8288	2761.15		12/30/1899	3
4	-1.0899	-0.4535	-0.3549	-3.9932	20.6164	9.7418	0.9448	0.163	32.4823	18.349	0.1927	-1.8288	2761.2		12/30/1899	4
5	-1.0899	1.3281	-0.9207	-3.9932	20.6164	10.3001	0.9448	-0.4028	32.4823	17.2138	0.7549	-1.8288	2761.25		12/30/1899	5
6	-1.6474	1.3281	-0.3549	-3.9932	20.6164	10.3001	0.3831	0.163	32.4823	17.2138	-0.3695	-1.2713	2761.3		12/30/1899	6
7	-1.0899	1.3281	-0.3549	-3.9932	20.0534	10.3001	0.9448	-0.4028	33.055	17.2138	0.1927	-1.8288	2761.35		12/30/1899	7
8	-1.0899	0.7342	-0.3549	-2.8595	20.0534	9.7418	0.9448	0.163	32.4823	17.2138	0.1927	-2.3863	2761.4		12/30/1899	8
9	-1.0899	0.7342	-0.3549	-3.9932	20.6164	10.3001	0.9448	0.163	32.4823	17.2138	0.1927	-1.2713	2761.45		12/30/1899	9
10	-1.6474	1.3281	-0.3549	-3.9932	20.0534	10.3001	0.9448	0.163	31.9097	17.2138	0.1927	-1.8288	2761.5		12/30/1899	10
11	-1.0899	0.7342	-0.3549	-3.9932	20.6164	10.3001	0.9448	0.163	32.4823	17.2138	0.1927	-1.8288	2761.55		12/30/1899	11
12	-1.0899	0.7342	-0.3549	-3.9932	20.6164	10.3001	0.9448	0.163	32.4823	17.2138	-0.3695	-1.8288	2761.6		12/30/1899	12
13	-1.0899	1.3281	-0.3549	-3.9932	20.6164	9.7418	0.9448	-0.4028	32.4823	17.2138	0.1927	-1.8288	2761.65		12/30/1899	13
14	-1.6474	1.3281	0.2108	-3.9932	20.6164	10.3001	0.9448	0.163	32.4823	17.2138	-0.3695	-1.8288	2761.7		12/30/1899	14
15	-1.0899	1.3281	-0.3549	-3.9932	20.6164	10.3001	0.9448	-0.4028	32.4823	17.2138	0.1927	-1.8288	2761.75		12/30/1899	15
16	-1.0899	1.3281	-0.3549	-3.4264	20.6164	10.3001	0.9448	0.163	32.4823	17.2138	0.1927	-1.8288	2761.8		12/30/1899	16
17	-1.0899	0.7342	-0.3549	-3.9932	20.6164	10.3001	1.5065	0.163	32.4823	17.2138	0.1927	-1.8288	2761.85		12/30/1899	17
18	-1.6474	0.7342	-0.3549	-3.9932	20.6164	9.7418	0.9448	0.163	32.4823	17.2138	0.1927	-1.8288	2761.9		12/30/1899	18
19	-1.6474	1.3281	-0.3549	-3.9932	20.6164	9.7418	0.9448	0.163	32.4823	17.2138	0.1927	-2.3863	2761.95		12/30/1899	19
20	-1.6474	1.3281	-0.3549	-3.9932	20.6164	10.3001	0.9448	0.7288	32.4823	17.2138	0.1927	-2.3863	2762		12/30/1899	20
21	-1.0899	1.3281	-0.3549	-3.9932	20.6164	10.3001	0.9448	0.163	32.4823	17.2138	0.1927	-1.8288	2762.05		12/30/1899	21
22	-2.205	0.7342	-0.3549	-3.9932	20.0534	10.3001	1.5065	0.163	32.4823	17.2138	0.1927	-1.2713	2762.1		12/30/1899	22
23	-1.0899	1.3281	0.2108	-3.9932	20.6164	9.7418	0.9448	-0.4028	32.4823	17.2138	0.1927	-1.8288	2762.15		12/30/1899	23
24	-1.0899	1.3281	-0.9207	-3.9932	20.6164	10.3001	0.9448	-0.4028	32.4823	17.7814	0.1927	-1.2713	2762.2		12/30/1899	24
25	-1.0899	1.3281	-0.3549	-3.4264	20.6164	10.3001	0.9448	0.163	32.4823	17.2138	0.1927	-1.8288	2762.25		12/30/1899	25
26	-1.6474	1.3281	-0.3549	-3.9932	20.6164	9.7418	0.9448	0.163	32.4823	17.2138	0.1927	-1.8288	2762.3		12/30/1899	26
27	-1.0899	1.3281	-0.3549	-3.9932	20.6164	10.3001	0.9448	0.163	32.4823	17.2138	0.1927	-1.8288	2762.35		12/30/1899	27
28	-1.0899	0.7342	-0.3549	-3.4264	20.6164	9.7418	0.9448	-0.4028	32.4823	17.2138	0.1927	-1.2713	2762.4		12/30/1899	28
